V Q53_150, Mean: 81.82352941176471
CV Q37_2553, Mean: 0.0
CW Q37_2553_TEXT, Mean: 0
CX Q34_282, Mean: 79.0952380952381
CY Q34_283, Mean: 55.578947368421055
CZ Q34_285, Mean: 74.3
DA Q34_286, Mean: 79.95
DB Q34_291, Mean: 61.8421052631579
DC Q34_292, Mean: 59.21052631578947
DD Q34_293, Mean: 64.89473684210526
DE Q34_294, Mean: 56.833333333333336
DF Q34_296, Mean: 76.1
DG Q34_299, Mean: 76.6
DH Q34_300, Mean: 52.529411764705884
DI Q34_301, Mean: 83.0
DJ Q34_303, Mean: 23.5
DK Q34_303_TEXT, Mean: 0
DL Q49_204, Mean: 87.19047619047619
DM Q49_206, Mean: 66.6
DN Q49_207, Mean: 86.71428571428571
DO Q49_209, Mean: 57.04761904761905
DP Q49_210, Mean: 83.14285714285714
DQ Q49_215, Mean: 50.3
DR Q49_214, Mean: 79.61904761904762
DS Q49_221, Mean: 68.23809523809524
DT Q49_222, Mean: 77.85714285714286
DU Q49_223, Mean: 0
DV Q49_223_TEXT, Mean: 0
DW Q36_208, Mean: 87.44
DX Q36_210, Mean: 58.92
DY Q36_224, Mean: 64.2
DZ Q36_225, Mean: 79.76
EA Q36_213, Mean: 81.23076923076923
EB Q36_214, Mean: 69.84
EC Q36_216, Mean: 68.47826086956522
ED Q36_217, Mean: 76.46153846153847
EE Q36_218, Mean: 83.42307692307692
EF Q36_219, Mean: 48.30769230769231
EG Q36_220, Mean: 58.04545454545455
EH Q36_221, Mean: 77.3076923076923
EI Q36_223, Mean: 94.0
EJ Q36_223_TEXT, Mean: 0
EK Q38_228, Mean: 88.72
EL Q38_230, Mean: 58.82608695652174
EM Q38_231, Mean: 74.70833333333333
EN Q38_232, Mean: 76.4
EO Q38_233, Mean: 61.18181818181818
EP Q38_234, Mean: 73.0
EQ Q38_235, Mean: 54.09090909090909
ER Q38_236, Mean: 72.68
ES Q38_237, Mean: 77.12
ET Q38_238, Mean: 63.4
EU Q38_239, Mean: 68.92
EV Q38_241, Mean: 0.0
EW Q38_241_TEXT, Mean: 0
EX Q42_652, Mean: 85.56666666666666
EY Q42_654, Mean: 67.65517241379311
EZ Q42_655, Mean: 73.55555555555556
FA Q42_656, Mean: 56.22222222222222
FB Q42_657, Mean: 75.2
FC Q42_658, Mean: 48.57692307692308
FD Q42_661, Mean: 77.27586206896552
FE Q42_662, Mean: 66.12
FF Q42_663, Mean: 82.63333333333334
FG Q42_665, Mean: 86.66666666666667
FH Q42_665_TEXT, Mean: 0
FI Q44_762, Mean: 87.82758620689656
FJ Q44_763, Mean: 61.92307692307692
FK Q44_765, Mean: 79.10344827586206
FL Q44_766, Mean: 81.03448275862068
FM Q44_767, Mean: 54.035714285714285
FN Q44_768, Mean: 69.0
FO Q44_769, Mean: 56.733333333333334
FP Q44_770, Mean: 75.5
FQ Q44_774, Mean: 46.523809523809526
FR Q44_776, Mean: 71.7
FS Q44_778, Mean: 72.28571428571429
FT Q44_780, Mean: 42.458333333333336
FU Q44_781, Mean: 71.72
FV Q44_782, Mean: 78.89655172413794
FW Q44_784, Mean: 0
FX Q44_784_TEXT, Mean: 0
FY Q48_328, Mean: 88.03703703703704
FZ Q48_329, Mean: 36.90909090909091
GA Q48_326, Mean: 82.2
GB Q48_327, Mean: 70.14814814814815
GC Q48_330, Mean: 78.2
GD Q48_331, Mean: 55.791666666666664
GE Q48_332, Mean: 68.4074074074074
GF Q48_334, Mean: 73.88461538461539
GG Q48_335, Mean: 55.666666666666664
GH Q48_336, Mean: 68.11538461538461
GI Q48_337, Mean: 83.0
GJ Q48_337_TEXT, Mean: 0
GK Q52_405, Mean: 88.55555555555556
GL Q52_407, Mean: 65.8076923076923
GM Q52_408, Mean: 76.8
GN Q52_409, Mean: 58.88461538461539
GO Q52_410, Mean: 63.52
GP Q52_421, Mean: 70.08
GQ Q52_411, Mean: 76.14814814814815
GR Q52_414, Mean: 83.66666666666667
GS Q52_415, Mean: 64.8
GT Q52_416, Mean: 88.44444444444444
GU Q52_417, Mean: 52.34782608695652
GV Q52_418, Mean: 59.15384615384615
GW Q52_419, Mean: 40.0
GX Q52_419_TEXT, Mean: 0
GY Q56_278, Mean: 81.03571428571429
GZ Q56_279, Mean: 65.16
HA Q56_280, Mean: 75.96296296296296
HB Q56_281, Mean: 71.44
HC Q56_289, Mean: 70.25925925925925
HD Q56_282, Mean: 56.333333333333336
HE Q56_283, Mean: 78.47826086956522
HF Q56_284, Mean: 64.80952380952381
HG Q56_285, Mean: 79.33333333333333
HH Q56_286, Mean: 55.96
HI Q56_288, Mean: 0
HJ Q56_288_TEXT, Mean: 0
HK Q58_464, Mean: 85.42307692307692
HL Q58_465, Mean: 76.52
HM Q58_466, Mean: 51.041666666666664
HN Q58_467, Mean: 75.03846153846153
HO Q58_472, Mean: 73.11538461538461
HP Q58_473, Mean: 47.5
HQ Q58_471, Mean: 44.17391304347826
HR Q58_474, Mean: 34.5
HS Q58_474_TEXT, Mean: 0
HT Q49_233, Mean: 84.6
HU Q49_234, Mean: 48.578947368421055
HV Q49_231, Mean: 74.05555555555556
HW Q49_232, Mean: 78.0
HX Q49_235, Mean: 74.72222222222223
HY Q49_236, Mean: 59.375
HZ Q49_237, Mean: 67.63157894736842
IA Q49_239, Mean: 71.3157894736842
IB Q49_240, Mean: 63.473684210526315
IC Q49_241, Mean: 63.1578947368421
ID Q49_242, Mean: 82.0
IE Q49_242_TEXT, Mean: 0
IF Q53_401, Mean: 84.45
IG Q53_402, Mean: 65.58823529411765
IH Q53_403, Mean: 80.44444444444444
II Q53_404, Mean: 69.55
IJ Q53_405, Mean: 78.82352941176471
IK Q53_406, Mean: 73.16666666666667
IL Q53_407, Mean: 64.53333333333333
IM Q53_408, Mean: 72.63157894736842
IN Q53_409, Mean: 71.3157894736842
IO Q53_410, Mean: 81.89473684210526
IP Q53_411, Mean: 63.11764705882353
IQ Q53_412, Mean: 68.52631578947368
IR Q53_413, Mean: 0
IS Q53_413_TEXT, Mean: 0
IT Q55_272, Mean: 86.89473684210526
IU Q55_274, Mean: 61.75
IV Q55_275, Mean: 66.05882352941177
IW Q55_276, Mean: 67.38888888888889
IX Q55_291, Mean: 74.26666666666667
IY Q55_281, Mean: 54.625
IZ Q55_283, Mean: 72.3157894736842
JA Q55_284, Mean: 64.4375
JB Q55_290, Mean: 58.333333333333336
JC Q55_290_TEXT, Mean: 0
JD Q57_204, Mean: 83.11111111111111
JE Q57_206, Mean: 61.625
JF Q57_207, Mean: 74.82352941176471
JG Q57_208, Mean: 72.52941176470588
JH Q57_221, Mean: 67.5
JI Q57_209, Mean: 66.125
JJ Q57_210, Mean: 73.11764705882354
JK Q57_214, Mean: 70.29411764705883
JL Q57_215, Mean: 79.83333333333333
JM Q57_216, Mean: 51.588235294117645
JN Q57_217, Mean: 65.88235294117646
JO Q57_219, Mean: 69.94117647058823
JP Q57_220, Mean: 88.0
JQ Q57_220_TEXT, Mean: 0
JR Q61_461, Mean: 79.85
JS Q61_463, Mean: 60.64705882352941
JT Q61_464, Mean: 77.84210526315789
JU Q61_465, Mean: 75.2
JV Q61_466, Mean: 68.0
JW Q61_467, Mean: 70.84210526315789
JX Q61_470, Mean: 59.3
JY Q61_471, Mean: 56.578947368421055
JZ Q61_472, Mean: 71.8
KA Q61_473, Mean: 61.10526315789474
KB Q61_474, Mean: 60.578947368421055
KC Q61_475, Mean: 66.78947368421052
KD Q61_477, Mean: 0
KE Q61_477_TEXT, Mean: 0
KF Q63_708, Mean: 74.45
KG Q63_710, Mean: 50.5
KH Q63_711, Mean: 67.82352941176471
KI Q63_712, Mean: 54.388888888888886
KJ Q63_716, Mean: 56.9375
KK Q63_709, Mean: 46.4
KL Q63_723, Mean: 52.666666666666664
KM Q63_724, Mean: 68.27777777777777
KN Q63_725, Mean: 62.625
KO Q63_730, Mean: 73.0
KP Q63_732, Mean: 0.0
KQ Q63_732_TEXT, Mean: 0
KR Q67_497, Mean: 77.9
KS Q67_499, Mean: 63.11764705882353
KT Q67_500, Mean: 65.28571428571429
KU Q67_501, Mean: 62.3
KV Q67_505, Mean: 74.84210526315789
KW Q67_506, Mean: 65.66666666666667
KX Q67_507, Mean: 0.0
KY Q67_507_TEXT, Mean: 0
KZ Q71_280, Mean: 71.23809523809524
LA Q71_281, Mean: 56.76470588235294
LB Q71_276, Mean: 76.0
LC Q71_278, Mean: 70.15
LD Q71_277, Mean: 64.66666666666667
LE Q71_279, Mean: 66.88888888888889
LF Q71_283, Mean: 58.31578947368421
LG Q71_284, Mean: 54.5
LH Q71_285, Mean: 74.52631578947368
LI Q71_286, Mean: 49.5625
LJ Q71_287, Mean: 67.0
LK Q71_288, Mean: 50.578947368421055
LL Q71_289, Mean: 71.45454545454545
LM Q71_291, Mean: 0
LN Q71_291_TEXT, Mean: 0
LO Q62_403, Mean: 92.9047619047619
LP Q62_405, Mean: 52.7
LQ Q62_406, Mean: 85.36363636363636
LR Q62_407, Mean: 77.2
LS Q62_408, Mean: 67.25
LT Q62_418, Mean: 64.75
LU Q62_409, Mean: 74.4
LV Q62_412, Mean: 76.0952380952381
LW Q62_413, Mean: 78.95238095238095
LX Q62_414, Mean: 68.0952380952381
LY Q62_416, Mean: 83.0
LZ Q62_417, Mean: 0
MA Q62_417_TEXT, Mean: 0
MB Q64_378, Mean: 87.5
MC Q64_380, Mean: 61.94736842105263
MD Q64_381, Mean: 91.13636363636364
ME Q64_383, Mean: 58.526315789473685
MF Q64_384, Mean: 76.5909090909091
MG Q64_385, Mean: 68.77777777777777
MH Q64_386, Mean: 69.38095238095238
MI Q64_390, Mean: 78.71428571428571
MJ Q64_392, Mean: 55.333333333333336
MK Q64_393, Mean: 39.75
ML Q64_399, Mean: 83.71428571428571
MM Q64_400, Mean: 91.0
MN Q64_400_TEXT, Mean: 0
MO Q68_375, Mean: 84.875
MP Q68_377, Mean: 66.9047619047619
MQ Q68_378, Mean: 64.47826086956522
MR Q68_379, Mean: 52.04545454545455
MS Q68_380, Mean: 67.43478260869566
MT Q68_381, Mean: 48.05
MU Q68_383, Mean: 63.625
MV Q68_387, Mean: 65.125
MW Q68_388, Mean: 57.583333333333336
MX Q68_389, Mean: 72.73076923076923
MY Q68_391, Mean: 0
MZ Q68_391_TEXT, Mean: 0
NA Q72_236, Mean: 82.30434782608695
NB Q72_237, Mean: 46.0
NC Q72_234, Mean: 74.20833333333333
ND Q72_235, Mean: 65.47826086956522
NE Q72_238, Mean: 67.81818181818181
NF Q72_239, Mean: 58.42857142857143
NG Q72_240, Mean: 68.54545454545455
NH Q72_242, Mean: 65.28571428571429
NI Q72_243, Mean: 60.75
NJ Q72_244, Mean: 63.869565217391305
NK Q72_245, Mean: 0
NL Q72_245_TEXT, Mean: 0
NM Q74_563, Mean: 86.22727272727273
NN Q74_564, Mean: 68.65
NO Q74_565, Mean: 86.4090909090909
NP Q74_567, Mean: 60.38095238095238
NQ Q74_568, Mean: 78.04761904761905
NR Q74_572, Mean: 75.77272727272727
NS Q74_573, Mean: 41.78947368421053
NT Q74_575, Mean: 71.55
NU Q74_576, Mean: 83.77272727272727
NV Q74_578, Mean: 0
NW Q74_578_TEXT, Mean: 0
NX Q78_171, Mean: 73.0909090909091
NY Q78_172, Mean: 51.0
NZ Q78_167, Mean: 73.78947368421052
OA Q78_168, Mean: 67.14285714285714
OB Q78_169, Mean: 73.76190476190476
OC Q78_170, Mean: 65.95238095238095
OD Q78_174, Mean: 70.71428571428571
OE Q78_175, Mean: 60.1
OF Q78_176, Mean: 75.95238095238095
OG Q78_177, Mean: 60.73684210526316
OH Q78_178, Mean: 70.85
OI Q78_179, Mean: 80.45
OJ Q78_181, Mean: 60.0
OK Q78_181_TEXT, Mean: 0
OL Q82_318, Mean: 88.20833333333333
OM Q82_320, Mean: 70.5
ON Q82_321, Mean: 80.875
OO Q82_322, Mean: 65.875
OP Q82_323, Mean: 62.26086956521739
OQ Q82_324, Mean: 74.08695652173913
OR Q82_326, Mean: 69.625
OS Q82_327, Mean: 68.52173913043478
OT Q82_328, Mean: 86.6086956521739
OU Q82_329, Mean: 66.61904761904762
OV Q82_330, Mean: 66.52173913043478
OW Q82_331, Mean: 88.5
OX Q82_331_TEXT, Mean: 0
OY Q84_208, Mean: 79.27272727272727
OZ Q84_210, Mean: 78.75
PA Q84_211, Mean: 70.58333333333333
PB Q84_212, Mean: 62.81818181818182
PC Q84_215, Mean: 70.4090909090909
PD Q84_216, Mean: 62.78260869565217
PE Q84_217, Mean: 80.0
PF Q84_218, Mean: 57.94444444444444
PG Q84_219, Mean: 55.333333333333336
PH Q84_221, Mean: 55.608695652173914
PI Q84_222, Mean: 0.0
PJ Q84_222_TEXT, Mean: 0
